DWA_ID_dup,Finance,V1,pct,AIOE
4.A.1.a.1.I01.D01,Hors finance,3.0875,0.00934640871948038,6.24835146805483
4.A.1.a.1.I01.D03,Hors finance,2.98666666666667,0.0170494928289422,5.82834608269786
4.A.1.a.1.I01.D04,Hors finance,3.09058823529412,0.0805229058909079,6.18022822212421
4.A.1.a.1.I02.D01,Hors finance,3.4525,0.00492997383005559,6.26439475118666
4.A.1.a.1.I02.D02,Hors finance,3.95785714285714,0.0183846940745823,5.62083052993854
4.A.1.a.1.I02.D04,Hors finance,3.7463698630137,0.00451914267755095,5.65536505750214
4.A.1.a.1.I02.D05,Hors finance,3.789,0.0784687501283847,5.72773294429832
4.A.1.a.1.I02.D06,Hors finance,3.76666666666667,0.00647059065194796,5.64811857276757
4.A.1.a.1.I02.D07,Hors finance,3.76857142857143,0.823613752983661,6.46222255055268
4.A.1.a.1.I02.D08,Hors finance,3.79261904761905,0.0238282068452687,6.34385189677947
4.A.1.a.1.I02.D09,Hors finance,3.70119047619048,0.0554622055881253,5.46576371213772
4.A.1.a.1.I02.D11,Hors finance,3.73114285714286,0.00965453208385886,5.67622651390138
4.A.1.a.1.I02.D14,Hors finance,3.80653846153846,0.0612138417231902,5.79502725903974
4.A.1.a.1.I03.D04,Finance,3.58013157894737,0.0197198953202223,6.43034952032476
4.A.1.a.1.I03.D05,Hors finance,3.81407407407407,0.0302987974972166,6.44882446516444
4.A.1.a.1.I04.D01,Hors finance,3.61192307692308,0.016227830523933,6.42306132904454
4.A.1.a.1.I04.D02,Hors finance,3.78181818181818,0.0122222267870128,6.28601365256711
4.A.1.a.1.I04.D03,Hors finance,3.007,0.240438932003336,6.36038231809988
4.A.1.a.1.I04.D04,Finance,3.62708333333333,0.00647059065194796,6.57401394245746
4.A.1.a.1.I04.D05,Hors finance,3.585,0.109589209930611,6.58491082745256
4.A.1.a.1.I04.D07,Finance,3.51316666666667,0.206134530769199,6.49903104909467
4.A.1.a.1.I04.D08,Hors finance,3.24882352941177,0.0179738629220777,6.47161797749034
4.A.1.a.1.I05.D01,Hors finance,3.87526315789474,0.0367693881491646,6.59760333033055
4.A.1.a.1.I05.D02,Hors finance,3.85730769230769,0.0846312174159542,6.66655557715987
4.A.1.a.1.I06.D01,Finance,3.31111111111111,0.0973669831435978,6.67643248097413
4.A.1.a.1.I06.D04,Hors finance,3.53321428571429,0.00770308410946185,6.3065521479458
4.A.1.a.1.I07.D01,Hors finance,3.50066666666667,0.00267040249128011,6.5923861634114
4.A.1.a.1.I08.D01,Hors finance,3.29863636363636,0.00554622055881253,6.32756916963834
4.A.1.a.1.I08.D03,Hors finance,3.16235294117647,0.0167413694645638,6.52449608954013
4.A.1.a.1.I09.D03,Hors finance,3.41642857142857,0.016227830523933,6.62014183154001
4.A.1.a.1.I10.D01,Hors finance,3.00210526315789,0.00164332461001853,6.47913001059405
4.A.1.a.1.I10.D02,Hors finance,2.99566666666667,0.00164332461001853,6.42956645798926
4.A.1.a.1.I10.D03,Hors finance,3.65096774193548,0.00184874018627084,6.44300725550518
4.A.1.a.1.I10.D05,Hors finance,3.14833333333333,0.00965453208385885,6.54094657390313
4.A.1.a.1.I10.D06,Hors finance,3.088125,0.0297852585565858,6.59468230709559
4.A.1.a.1.I11.D01,Hors finance,3.63,0.00523809719443406,6.51751078802975
4.A.1.a.1.I12.D01,Hors finance,3.85722222222222,0.0191036485914654,6.20709694446438
4.A.1.a.1.I12.D02,Hors finance,4.00716666666667,0.0313258753784782,6.17379221434733
4.A.1.a.1.I12.D03,Hors finance,3.3496052631579,0.0380018816066785,6.51721694201222
4.A.1.a.1.I12.D04,Hors finance,3.30875,0.00739496074508338,6.41473333135708
4.A.1.a.1.I13.D01,Hors finance,3.45166666666667,0.00688142180445259,6.34341043735807
4.A.1.a.1.I13.D02,Hors finance,3.40458333333333,0.0126330579395174,6.20627267123422
4.A.1.a.1.I14.D01,Hors finance,3.31916666666667,0.0164332461001853,6.44862525710422
4.A.1.a.1.I14.D02,Finance,3.45575757575758,0.0961344896860839,6.4091069272122
4.A.1.a.1.I14.D03,Finance,3.57238095238095,0.00338935700816322,6.53261384495108
4.A.1.a.1.I14.D04,Hors finance,2.925,0.0127357657276436,6.47273772528029
4.A.1.a.1.I14.D05,Hors finance,3.38766666666667,0.00544351277068638,6.58696529299519
4.A.1.a.1.I15.D01,Hors finance,4.10166666666667,0.0031839414319109,6.20324504372555
4.A.1.a.1.I16.D01,Hors finance,3.62925,0.0766200099421139,6.47851311039562
4.A.1.a.1.I16.D02,Hors finance,3.81375,0.0249579925146564,6.41873303263134
4.A.1.a.1.I16.D03,Hors finance,3.5125,0.00410831152504632,6.37294947753024
4.A.1.a.1.I16.D04,Hors finance,4.05681818181818,0.161148519569942,6.40516339740959
4.A.1.a.1.I16.D05,Hors finance,3.56388888888889,0.043548102165491,6.24094873185432
4.A.1.a.1.I16.D06,Hors finance,3.58735294117647,0.116162508370685,6.10257608140631
4.A.1.a.1.I18.D01,Hors finance,3.01961538461538,0.0976751065079763,6.42181731852581
4.A.1.a.1.I18.D02,Hors finance,2.89125,0.139888007427827,6.4433400017281
4.A.1.a.1.I18.D03,Hors finance,3.106875,0.500495051538768,6.59640853187165
4.A.1.a.1.I19.D01,Hors finance,4.00087301587302,0.0696358803495351,6.26514011356626
4.A.1.a.1.I20.D01,Hors finance,3.66571428571429,0.00770308410946185,6.48646735818412
4.A.1.a.1.I20.D02,Hors finance,3.89611111111111,0.0306069208615951,6.28588901662352
4.A.1.a.1.I20.D03,Hors finance,3.428125,0.00369748037254169,6.51546014287967
4.A.1.a.1.I20.D04,Hors finance,3.64620689655172,0.0538188809781068,6.46495519681507
4.A.1.a.1.I20.D05,Hors finance,3.66315789473684,0.0166386616764376,6.39937446015548
4.A.1.a.1.I20.D07,Hors finance,3.29666666666667,0.0621382118163256,6.5971410401648
4.A.1.a.1.I20.D08,Hors finance,3.46269230769231,0.0122222267870128,6.19380321260842
4.A.1.a.1.I20.D09,Hors finance,3.775,0.00154061682189237,6.45980355023033
4.A.1.a.1.I20.D10,Hors finance,3.67181818181818,0.0740523152389599,6.36221565871042
4.A.1.a.1.I21.D01,Hors finance,4.23181818181818,0.00482726604192943,5.81592358579113
4.A.1.a.1.I22.D01,Hors finance,3.64818181818182,0.0063678828638218,6.43869273382907
4.A.1.a.1.I23.D01,Finance,3.57972727272727,0.040261452945454,6.54847412639017
4.A.1.a.1.I23.D04,Hors finance,4.10071428571429,0.0336881545053798,5.97356558775413
